State	Sex	AgeGroup	TotalDeath	COVIDProp	InfluenzaProp	PneumoniaProp
Alabama	Male	0-17 years	292	0	0	0
Alabama	Male	18-29 years	631	0.01743264659271	0	0
Alabama	Male	30-49 years	2085	0.0522781774580336	0	0.0513189448441247
Alabama	Male	50-64 years	5161	0.0753729897306723	0.004068978880062	0.0664599883743461
Alabama	Male	65-74 years	5741	0.100156767113743	0.00296115659292806	0.0942344539278871
Alabama	Male	75-84 years	5831	0.100325844623564	0	0.0938089521522895
Alabama	Male	85 years and over	4076	0.0951913640824338	0	0.0878312070657507
Alabama	Female	0-17 years	178	0	0	0
Alabama	Female	18-29 years	224	0	0	0
Alabama	Female	30-49 years	1227	0.0660146699266504	0	0.0546047269763651
Alabama	Female	50-64 years	3476	0.0900460299194476	0.00373993095512083	0.0883199079401611
Alabama	Female	65-74 years	4254	0.0992007522331923	0.00282087447108604	0.0853314527503526
Alabama	Female	75-84 years	5747	0.0892639638072038	0	0.0805637724029929
Alabama	Female	85 years and over	6929	0.0896233222687256	0	0.0656660412757974
Alaska	Male	0-17 years	43	0	0	0
Alaska	Male	18-29 years	100	0	0	0
Alaska	Male	30-49 years	232	0	0	0.0431034482758621
Alaska	Male	50-64 years	453	0	0	0.0397350993377483
Alaska	Male	65-74 years	450	0.0288888888888889	0	0.0377777777777778
Alaska	Male	75-84 years	440	0.0272727272727273	0	0.0477272727272727
Alaska	Male	85 years and over	257	0	0	0.0622568093385214
Alaska	Female	0-17 years	26	0	0	0
Alaska	Female	18-29 years	47	0	0	0
Alaska	Female	30-49 years	151	0	0	0
Alaska	Female	50-64 years	257	0	0	0.0622568093385214
Alaska	Female	65-74 years	298	0	0	0.0536912751677852
Alaska	Female	75-84 years	292	0	0	0.0513698630136986
Alaska	Female	85 years and over	354	0	0	0.0480225988700565
Arizona	Male	0-17 years	377	0	0	0
Arizona	Male	18-29 years	1123	0.0338379341050757	0	0.031166518254675
Arizona	Male	30-49 years	2932	0.0876534788540246	0	0.0668485675306958
Arizona	Male	50-64 years	5793	0.12083549110996	0.00293457621267046	0.116347315725876
Arizona	Male	65-74 years	6773	0.109700280525616	0.00206703085781781	0.12357891628525
Arizona	Male	75-84 years	7810	0.103585147247119	0.00153649167733675	0.120230473751601
Arizona	Male	85 years and over	6389	0.0870245734856785	0.00156519017060573	0.0968852715604946
Arizona	Female	0-17 years	260	0	0	0
Arizona	Female	18-29 years	362	0.0469613259668508	0	0.0441988950276243
Arizona	Female	30-49 years	1410	0.100709219858156	0	0.0886524822695035
Arizona	Female	50-64 years	3472	0.105702764976959	0.00374423963133641	0.116647465437788
Arizona	Female	65-74 years	4763	0.104136048708797	0.00335922737770313	0.1205122821751
Arizona	Female	75-84 years	6591	0.0907297830374754	0.00151722045213169	0.1048399332423
Arizona	Female	85 years and over	8851	0.073438029601175	0	0.0760366060332166
Arkansas	Male	0-17 years	211	0	0	0
Arkansas	Male	18-29 years	347	0	0	0
Arkansas	Male	30-49 years	1200	0.0408333333333333	0	0.0483333333333333
Arkansas	Male	50-64 years	2958	0.0628803245436105	0.0050709939148073	0.0838404327248141
Arkansas	Male	65-74 years	3439	0.0645536493166618	0.00319860424542018	0.0875254434428613
Arkansas	Male	75-84 years	3557	0.0860275513072814	0	0.110486364914254
Arkansas	Male	85 years and over	2571	0.0933488914819137	0	0.11318553092182
Arkansas	Female	0-17 years	121	0	0	0
Arkansas	Female	18-29 years	148	0	0	0
Arkansas	Female	30-49 years	780	0.0551282051282051	0	0.0666666666666667
Arkansas	Female	50-64 years	1955	0.0583120204603581	0	0.0930946291560102
Arkansas	Female	65-74 years	2530	0.0608695652173913	0.00395256916996047	0.0901185770750988
Arkansas	Female	75-84 years	3286	0.0718198417528911	0	0.0916007303712721
Arkansas	Female	85 years and over	4251	0.0858621500823336	0	0.0804516584333098
California	Male	0-17 years	1332	0	0	0.018018018018018
California	Male	18-29 years	3789	0.0184745315386646	0	0.0234890472420164
California	Male	30-49 years	10879	0.0739038514569354	0.00229800533137237	0.0750068940159941
California	Male	50-64 years	23963	0.099570170679798	0.00392271418436757	0.109210032132872
California	Male	65-74 years	25733	0.0950530447285587	0.00248707884817161	0.119146621070221
California	Male	75-84 years	27782	0.0827154272550572	0.00208768267223382	0.120725649701245
California	Male	85 years and over	29750	0.0691428571428571	0.00174789915966387	0.106050420168067
California	Female	0-17 years	943	0	0	0.0201484623541888
California	Female	18-29 years	1205	0.0381742738589212	0	0.0489626556016598
California	Female	30-49 years	5100	0.0629411764705882	0.00470588235294118	0.0782352941176471
California	Female	50-64 years	13701	0.0734982847967302	0.00430625501788191	0.100941537114079
California	Female	65-74 years	17535	0.0772740233818078	0.00273738237810094	0.108354719133162
California	Female	75-84 years	25043	0.0720360979115921	0.00279519226929681	0.101824861238669
California	Female	85 years and over	43867	0.0632593977249413	0.00143615929970137	0.0854628764219117
Colorado	Male	0-17 years	267	0	0	0
Colorado	Male	18-29 years	704	0	0	0
Colorado	Male	30-49 years	1907	0.0314630309386471	0	0.042999475616151
Colorado	Male	50-64 years	3516	0.0591581342434585	0.00426621160409556	0.0756541524459613
Colorado	Male	65-74 years	3891	0.0696479054227705	0.00257003341043434	0.0945772295039835
Colorado	Male	75-84 years	4170	0.0810551558752998	0	0.101918465227818
Colorado	Male	85 years and over	4004	0.0891608391608392	0.0024975024975025	0.0904095904095904
Colorado	Female	0-17 years	191	0	0	0
Colorado	Female	18-29 years	241	0	0	0
Colorado	Female	30-49 years	931	0.0214822771213749	0	0.0504833512352309
Colorado	Female	50-64 years	2108	0.0384250474383302	0.00664136622390892	0.0702087286527514
Colorado	Female	65-74 years	2717	0.0559440559440559	0	0.0725064409274936
Colorado	Female	75-84 years	3738	0.0727661851257357	0	0.0901551631888711
Colorado	Female	85 years and over	6168	0.075064850843061	0.00210765239948119	0.075064850843061
Connecticut	Male	0-17 years	92	0	0	0
Connecticut	Male	18-29 years	288	0	0	0
Connecticut	Male	30-49 years	950	0.0631578947368421	0	0.0242105263157895
Connecticut	Male	50-64 years	2342	0.125533731853117	0	0.0589239965841161
Connecticut	Male	65-74 years	2501	0.187924830067973	0.00439824070371851	0.0951619352259096
Connecticut	Male	75-84 years	3038	0.194535878867676	0	0.0941408821593153
Connecticut	Male	85 years and over	3744	0.201655982905983	0	0.105769230769231
Connecticut	Female	0-17 years	56	0	0	0
Connecticut	Female	18-29 years	98	0	0	0
Connecticut	Female	30-49 years	448	0.0558035714285714	0	0.0290178571428571
Connecticut	Female	50-64 years	1336	0.108532934131737	0	0.0583832335329341
Connecticut	Female	65-74 years	1812	0.169426048565121	0	0.0927152317880795
Connecticut	Female	75-84 years	3043	0.193230364771607	0.00394347683207361	0.0860992441669405
Connecticut	Female	85 years and over	6285	0.204932378679395	0.00175019888623707	0.0731901352426412
Delaware	Male	0-17 years	42	0	0	0
Delaware	Male	18-29 years	95	0	0	0
Delaware	Male	30-49 years	326	0.0337423312883436	0	0
Delaware	Male	50-64 years	724	0.0593922651933702	0	0.0635359116022099
Delaware	Male	65-74 years	907	0.0893054024255788	0	0.0915104740904079
Delaware	Male	75-84 years	1001	0.0839160839160839	0	0.0749250749250749
Delaware	Male	85 years and over	894	0.0749440715883669	0	0.0592841163310962
Delaware	Female	0-17 years	37	0	0	0
Delaware	Female	18-29 years	32	0	0	0
Delaware	Female	30-49 years	156	0	0	0
Delaware	Female	50-64 years	478	0.0815899581589958	0	0.0753138075313808
Delaware	Female	65-74 years	679	0.0706921944035346	0	0.085419734904271
Delaware	Female	75-84 years	984	0.0873983739837398	0	0.0823170731707317
Delaware	Female	85 years and over	1478	0.0967523680649526	0	0.0649526387009472
District of Columbia	Male	0-17 years	79	0	0	0
District of Columbia	Male	18-29 years	129	0	0	0
District of Columbia	Male	30-49 years	386	0.11139896373057	0	0.132124352331606
District of Columbia	Male	50-64 years	802	0.148379052369077	0	0.182044887780549
District of Columbia	Male	65-74 years	734	0.188010899182561	0	0.253405994550409
District of Columbia	Male	75-84 years	524	0.181297709923664	0	0.240458015267176
District of Columbia	Male	85 years and over	416	0.153846153846154	0	0.194711538461538
District of Columbia	Female	0-17 years	55	0	0	0
District of Columbia	Female	18-29 years	40	0	0	0
District of Columbia	Female	30-49 years	165	0.0909090909090909	0	0.133333333333333
District of Columbia	Female	50-64 years	503	0.139165009940358	0	0.174950298210736
District of Columbia	Female	65-74 years	506	0.158102766798419	0	0.211462450592885
District of Columbia	Female	75-84 years	481	0.147609147609148	0	0.207900207900208
District of Columbia	Female	85 years and over	729	0.133058984910837	0	0.183813443072702
Florida	Male	0-17 years	944	0	0	0.0180084745762712
Florida	Male	18-29 years	2358	0.0169635284139101	0	0.0262934690415606
